data,id_compra,estado,loja,vendedor,produto,produto_id,preco,cliente_nome,cliente_genero,forma_pagto
2025-04-26 21:45:49.220375,778,MG,Belo Horizonte,Carlos Silva,Smartphone,1,2000.0,Kenneth Rogers,M,Cartão de Crédito
2025-04-27 00:06:52.970580,1018,RJ,Rio de Janeiro,Vinicius Sanches,Teclado,4,150.0,Peter Giorgio,O,Transferência Bancária
2025-04-27 02:14:57.429968,1419,MG,Belo Horizonte,João Vitor,Notebook,0,3500.0,Rebecca Bastilla,F,Pix
2025-04-27 04:17:56.146235,1315,SP,São Paulo,Bruno Silva,Mesa para Escritório,8,700.0,Joshua Maris,M,Boleto
2025-04-27 09:48:46.438972,558,SP,Assis,Mariana Gomes,Tablet,2,1500.0,Wendy Sewell,F,Boleto
2025-04-27 14:36:00.686428,1676,SP,São Paulo,Bruno Silva,Teclado,4,150.0,Leo Peterson,M,Transferência Bancária
2025-04-27 18:14:55.654658,1246,RJ,Rio de Janeiro,Juliana Almeida,Smartphone,1,2000.0,Guadalupe Miller,O,Boleto
2025-04-27 23:43:41.301547,217,PR,Cambará,Vitoria Martins,Headset,9,300.0,James Inyart,M,Boleto
2025-04-28 11:51:55.634109,1242,RJ,Rio de Janeiro,Juliana Almeida,Mouse,5,100.0,Clement Swank,O,Cartão de Crédito
2025-04-28 12:31:41.275813,212,SP,Assis,Maria Vitoria,Cadeira Gamer,7,900.0,Timothy Pittman,M,Cartão de Crédito
2025-04-28 16:22:55.934490,1288,PR,Cambará,Ana Maria,Mesa para Escritório,8,700.0,Sheila Alexander,O,Transferência Bancária
2025-04-29 00:31:47.686221,648,MG,Belo Horizonte,Carlos Silva,Cadeira Gamer,7,900.0,Billy Fish,O,Pix
2025-04-29 00:37:46.803137,578,PR,Cambará,Vitoria Martins,Mesa para Escritório,8,700.0,Raymond Kelley,O,Transferência Bancária
2025-04-29 01:24:44.122839,420,RJ,Rio de Janeiro,Juliana Almeida,Impressora,6,1200.0,Natalie Thurman,O,Boleto
2025-04-29 10:11:03.065972,1843,RJ,Rio de Janeiro,Juliana Almeida,Cadeira Gamer,7,900.0,Janet Hunter,F,Boleto
2025-04-29 23:48:46.269114,550,MG,Belo Horizonte,Maria Clara,Cadeira Gamer,7,900.0,Nicole Stevens,O,Boleto
2025-04-30 01:31:03.659190,1877,RJ,Rio de Janeiro,Juliana Almeida,Mesa para Escritório,8,700.0,Miranda Hutchinson,F,Boleto
2025-04-30 01:41:01.359144,1714,SP,Assis,Mariana Gomes,Monitor,3,800.0,Sara Johnson,F,Pix
2025-04-30 05:42:56.259023,1320,SP,Assis,Roberto Ferreira,Headset,9,300.0,Elaine Nagy,O,Cartão de Crédito
2025-04-30 06:06:50.083531,814,SP,São Paulo,Ana Oliveira,Notebook,0,3500.0,James Pascanik,M,Transferência Bancária
2025-04-30 07:08:51.837257,934,SP,Assis,Roberto Ferreira,Notebook,0,3500.0,Emma Gibbs,O,Cartão de Crédito
2025-04-30 09:15:56.197268,1317,RJ,Rio de Janeiro,Juliana Almeida,Tablet,2,1500.0,Violet Wilson,O,Cartão de Crédito
2025-04-30 11:37:54.677942,1143,RJ,Rio de Janeiro,Pedro Sousa,Mesa para Escritório,8,700.0,Douglas Abney,M,Transferência Bancária
2025-04-30 19:33:55.401286,1216,PR,Cambará,Beatriz Dias,Headset,9,300.0,Louis Daliva,O,Boleto
2025-05-01 00:07:52.926737,1015,SP,Assis,Mariana Gomes,Tablet,2,1500.0,Perry Shutt,M,Boleto
2025-05-01 03:30:40.088288,119,MG,Belo Horizonte,Carlos Silva,Notebook,0,3500.0,Edmond Franklin,M,Cartão de Crédito
2025-05-01 09:46:46.150194,544,SP,São Paulo,Carla Santos,Tablet,2,1500.0,Matthew Vonholt,M,Transferência Bancária
2025-05-01 12:24:41.727184,246,SP,Assis,Maria Vitoria,Mouse,5,100.0,Nathan Gearheart,M,Pix
2025-05-01 13:25:01.487049,1729,RJ,Rio de Janeiro,Juliana Almeida,Headset,9,300.0,Hubert Randall,O,Transferência Bancária
2025-05-01 15:46:02.719748,1819,MG,Belo Horizonte,João Vitor,Teclado,4,150.0,Jasmine Britt,F,Pix
2025-05-01 17:09:52.627923,990,PR,Cambará,Ana Maria,Mouse,5,100.0,Kevin Zenger,M,Cartão de Crédito
2025-05-02 01:14:03.316056,1855,SP,Assis,Roberto Ferreira,Monitor,3,800.0,Robbie Laughlin,O,Transferência Bancária
2025-05-02 12:15:57.668197,1435,PR,Cambará,Ana Maria,Impressora,6,1200.0,Jeremy Benson,M,Transferência Bancária
2025-05-02 17:16:43.095324,353,SP,São Paulo,Ana Oliveira,Monitor,3,800.0,Rita Hanni,O,Cartão de Crédito
2025-05-02 18:45:57.706143,1438,SP,São Paulo,Bruno Silva,Mouse,5,100.0,James Sanchez,M,Pix
2025-05-03 04:07:58.569756,1501,RJ,Rio de Janeiro,Pedro Sousa,Headset,9,300.0,Angel Smith,M,Cartão de Crédito
2025-05-03 05:08:02.099788,1764,SP,Assis,Maria Vitoria,Monitor,3,800.0,Vanessa Bembry,F,Boleto
2025-05-03 09:34:54.785671,1159,MG,Belo Horizonte,João Vitor,Monitor,3,800.0,Margaret Hillsman,O,Cartão de Crédito
2025-05-03 19:44:04.972086,1969,RJ,Rio de Janeiro,Juliana Almeida,Impressora,6,1200.0,Timothy Tucker,M,Transferência Bancária
2025-05-03 20:15:41.752798,247,SP,São Paulo,Ana Oliveira,Cadeira Gamer,7,900.0,James Collier,O,Transferência Bancária
2025-05-04 07:50:38.520409,32,RJ,Rio de Janeiro,Juliana Almeida,Headset,9,300.0,Viola Johnson,F,Cartão de Crédito
2025-05-04 14:42:53.224304,1048,MG,Belo Horizonte,João Vitor,Smartphone,1,2000.0,Lewis Adcock,M,Cartão de Crédito
2025-05-04 16:51:47.719437,658,RJ,Rio de Janeiro,Pedro Sousa,Teclado,4,150.0,Juan Weisser,M,Cartão de Crédito
2025-05-04 20:39:57.763733,1446,RJ,Rio de Janeiro,Juliana Almeida,Smartphone,1,2000.0,Alice Hall,F,Pix
2025-05-04 21:10:49.125896,760,SP,São Paulo,Bruno Silva,Mesa para Escritório,8,700.0,Ruth Gagliardi,O,Cartão de Crédito
2025-05-05 01:16:44.262756,429,SP,Assis,Roberto Ferreira,Monitor,3,800.0,Jessica Baker,F,Cartão de Crédito
2025-05-05 11:27:54.707730,1149,PR,Cambará,Vitoria Martins,Monitor,3,800.0,Darrin Braxton,M,Transferência Bancária
2025-05-05 13:27:02.525637,1811,MG,Belo Horizonte,Carlos Silva,Mesa para Escritório,8,700.0,Judy Hawke,F,Transferência Bancária
2025-05-05 16:48:50.182134,819,PR,Cambará,Vitoria Martins,Tablet,2,1500.0,Reginald Barron,O,Cartão de Crédito
2025-05-06 00:18:53.111346,1041,SP,Assis,Roberto Ferreira,Mesa para Escritório,8,700.0,Angelo Ensing,M,Pix
2025-05-06 02:31:01.722737,1743,PR,Cambará,Vitoria Martins,Headset,9,300.0,Norma Gutoski,F,Boleto
2025-05-06 14:53:48.511582,732,RJ,Rio de Janeiro,Juliana Almeida,Teclado,4,150.0,Burton Suski,M,Pix
2025-05-06 16:35:40.610526,160,SP,São Paulo,Bruno Silva,Teclado,4,150.0,Patrica Benoit,F,Cartão de Crédito
2025-05-06 17:08:48.005725,702,SP,Assis,Maria Vitoria,Smartphone,1,2000.0,Caroline Oliver,O,Boleto
2025-05-06 17:11:47.903514,683,RJ,Rio de Janeiro,Vinicius Sanches,Impressora,6,1200.0,Christopher Murray,M,Cartão de Crédito
2025-05-06 18:04:57.318734,1415,RJ,Rio de Janeiro,Vinicius Sanches,Impressora,6,1200.0,Leslie Spaeth,F,Transferência Bancária
